video_id,author,comment,like_count,date,topic,year,normalization,tokenizing,stopword,stemming,category,sentiment
JTEhv7JCRF0,@Putusudiarta-u4x,akhir belangan ini cabe tanaman saya mengalami gangguan pada daun ada muncul seperti kapas dibalik daun kira apa yg dipakai utk mencegahnya pak,0,2025-06-28T08:53:16Z,pengendalian hama,2025,akhir belangan ini cabe tanaman saya mengalami gangguan pada daun ada muncul seperti kapas dibalik daun kira apa yg dipakai utk mencegahnya pak,"akhir, belangan, ini, cabe, tanaman, saya, mengalami, gangguan, pada, daun, ada, muncul, seperti, kapas, dibalik, daun, kira, apa, yg, dipakai, utk, mencegahnya, pak","belangan, cabe, tanaman, mengalami, gangguan, daun, muncul, kapas, dibalik, daun, yg, dipakai, utk, mencegahnya","bangan, cabe, tanam, alami, ganggu, daun, muncul, kapas, balik, daun, yg, pakai, utk, cegah",feedback penonton,Positif
UfbQxFXre5Q,@meliwardani7818,melenceng sidikit pak apa bisa tricoderma di mix asam humat,1,2022-01-14T14:25:45Z,pemupukan,2022,melenceng sidikit pak apa bisa tricoderma di mix asam humat,"melenceng, sidikit, pak, apa, bisa, tricoderma, di, mix, asam, humat","melenceng, sidikit, tricoderma, mix, asam, humat","lenceng, sidikit, tricoderma, mix, asam, humat",feedback penonton,Netral
_lAVXCvou78,@abdankh5584,semoga bermanfaat terimakasih ilmunya,0,2024-10-17T13:35:36Z,pengendalian hama,2024,semoga bermanfaat terimakasih ilmunya,"semoga, bermanfaat, terimakasih, ilmunya","semoga, bermanfaat, terimakasih, ilmunya","moga, manfaat, terimakasih, ilmu",feedback penonton,Positif
5Fv2tGv9_Vo,@otolegendafakta,gila pola pikirnya bisa ky gini,0,2025-09-04T03:03:56Z,budidaya organik,2025,gila pola pikirnya bisa ky gini,"gila, pola, pikirnya, bisa, ky, gini","gila, pola, pikirnya, ky, gini","gila, pola, pikir, ky, gin",feedback penonton,Netral
QQM9BKY0_K8,@sujalisujali2113,mantap pak penjelasanya klo cabe umur h setelah tanam nggak papa pak salam dri klaten,1,2021-02-23T14:12:20Z,pemupukan,2021,mantap pak penjelasanya klo cabe umur h setelah tanam nggak papa pak salam dri klaten,"mantap, pak, penjelasanya, klo, cabe, umur, h, setelah, tanam, nggak, papa, pak, salam, dri, klaten","mantap, penjelasanya, klo, cabe, umur, h, tanam, nggak, papa, salam, dri, klaten","mantap, jasa, klo, cabe, umur, h, tanam, gak, papa, salam, dri, klaten",feedback penonton,Positif
TCRV_d27iG0,@tono7251,ribet juga klau menanam,0,2021-10-31T04:43:19Z,pemupukan,2021,ribet juga klau menanam,"ribet, juga, klau, menanam","ribet, klau, menanam","ribet, klau, tanam",feedback penonton,Negatif
Xrbn47ZiFYw,@MeiListiyani96,kak kalo obat untuk ulat dan jamur di cabe itu pake apa ya,0,2024-05-05T14:25:07Z,pengendalian hama,2024,kak kalo obat untuk ulat dan jamur di cabe itu pake apa ya,"kak, kalo, obat, untuk, ulat, dan, jamur, di, cabe, itu, pake, apa, ya","kak, kalo, obat, ulat, jamur, cabe, pake, ya","kak, kalo, obat, ulat, jamur, cabe, pake, ya",efektivitas pengendalian hama,Negatif
1NnDgJzBAq4,@TheYoga2023,ini kalo ditaro diluar terus kehujanan aman ga atau kita harus taro di tempat yg ga kena hujan,1,2023-12-05T01:42:11Z,hidroponik,2023,ini kalo ditaro diluar terus kehujanan aman ga atau kita harus taro di tempat yg ga kena hujan,"ini, kalo, ditaro, diluar, terus, kehujanan, aman, ga, atau, kita, harus, taro, di, tempat, yg, ga, kena, hujan","kalo, ditaro, diluar, kehujanan, aman, ga, taro, yg, ga, kena, hujan","kalo, taro, luar, hujan, aman, ga, taro, yg, ga, na, hujan",feedback penonton,Positif
28Eo_Xm8LYg,@situmorang80,maaf pak ppl bagai mana jika pupuk poc di campur dengan abu kayu apakah bakterinya mati,0,2023-11-03T12:50:48Z,pemupukan,2023,maaf pak ppl bagai mana jika pupuk poc di campur dengan abu kayu apakah bakterinya mati,"maaf, pak, ppl, bagai, mana, jika, pupuk, poc, di, campur, dengan, abu, kayu, apakah, bakterinya, mati","maaf, ppl, pupuk, poc, campur, abu, kayu, bakterinya, mati","maaf, ppl, pupuk, poc, campur, abu, kayu, bakteri, mati","dampak pupuk ke tanaman, dosis dan waktu pupuk",Negatif
_99fDKfRq50,@Komel-r92,lama ngeselin juga ya baru aja lihat detikan udah dimaki hmmmmm,0,2022-07-25T12:49:29Z,irigasi,2022,lama ngeselin juga ya baru aja lihat detikan udah dimaki hmmmmm,"lama, ngeselin, juga, ya, baru, aja, lihat, detikan, udah, dimaki, hmmmmm","ngeselin, ya, aja, lihat, detikan, udah, dimaki, hmmmmm","eselin, ya, aja, lihat, detik, udah, maki, hmmmmm",feedback penonton,Negatif
JL2VZdA9wuc,@muhammadarifin8422,apa cuman bisa membasmi ulat saja,0,2021-10-01T11:03:44Z,pengendalian hama,2021,apa cuman bisa membasmi ulat saja,"apa, cuman, bisa, membasmi, ulat, saja","cuman, membasmi, ulat","cuman, basmi, ulat",efektivitas pengendalian hama,Netral
pO43PBserhU,@Hendraja96,paten kali ini obat hama nya bos,5,2025-08-02T08:23:03Z,pengendalian hama,2025,paten kali ini obat hama nya bos,"paten, kali, ini, obat, hama, nya, bos","paten, kali, obat, hama, nya, bos","paten, kali, obat, hama, , bos",efektivitas pengendalian hama,Negatif
1NnDgJzBAq4,@ressy501Official,sangat bermanfaat sekali,0,2022-09-20T08:19:07Z,hidroponik,2022,sangat bermanfaat sekali,"sangat, bermanfaat, sekali",bermanfaat,manfaat,feedback penonton,Positif
YxYvJhEqC98,@danda_prahayuan0174,petani kecil disuruh bersahabat dengan alam pengusaha besar sibuk menghancurkan alam berapa puluh ribu hektar hutan di hancurkan di kalimantan omongkosong semua,1,2021-01-17T19:39:14Z,budidaya organik,2021,petani kecil disuruh bersahabat dengan alam pengusaha besar sibuk menghancurkan alam berapa puluh ribu hektar hutan di hancurkan di kalimantan omongkosong semua,"petani, kecil, disuruh, bersahabat, dengan, alam, pengusaha, besar, sibuk, menghancurkan, alam, berapa, puluh, ribu, hektar, hutan, di, hancurkan, di, kalimantan, omongkosong, semua","petani, disuruh, bersahabat, alam, pengusaha, sibuk, menghancurkan, alam, puluh, ribu, hektar, hutan, hancurkan, kalimantan, omongkosong","tani, suruh, sahabat, alam, usaha, sibuk, hancur, alam, puluh, ribu, hektar, hutan, hancur, kalimantan, omongkosong",feedback penonton,Negatif
-GyJN1tr9RM,@nengrukh3049,klw beli nutrisinya di mana bang,2,2022-07-20T04:44:01Z,hidroponik,2022,klw beli nutrisinya di mana bang,"klw, beli, nutrisinya, di, mana, bang","klw, beli, nutrisinya, bang","klw, beli, nutrisi, bang",feedback penonton,Netral
_lAVXCvou78,@asparimd7545,p mau tanya ramuan ini bisakah diperuntukan pada tanaman padi atau jagung mhn balasanya terima kasih,0,2023-03-14T10:18:58Z,pengendalian hama,2023,p mau tanya ramuan ini bisakah diperuntukan pada tanaman padi atau jagung mhn balasanya terima kasih,"p, mau, tanya, ramuan, ini, bisakah, diperuntukan, pada, tanaman, padi, atau, jagung, mhn, balasanya, terima, kasih","p, ramuan, diperuntukan, tanaman, padi, jagung, mhn, balasanya, terima, kasih","p, ramu, untuk, tanam, padi, jagung, mhn, balasa, terima, kasih",alternatif pengendalian alami,Positif
1NnDgJzBAq4,@cantikaaprilia4460,saya tanam kangkung seperti yg kk buat tapi ko baru hari udh ada yg busuk bagian akar nya itu knph ya ka saya baru pemula,0,2023-02-05T14:03:38Z,hidroponik,2023,saya tanam kangkung seperti yg kk buat tapi ko baru hari udh ada yg busuk bagian akar nya itu knph ya ka saya baru pemula,"saya, tanam, kangkung, seperti, yg, kk, buat, tapi, ko, baru, hari, udh, ada, yg, busuk, bagian, akar, nya, itu, knph, ya, ka, saya, baru, pemula","tanam, kangkung, yg, kk, ko, udh, yg, busuk, akar, nya, knph, ya, ka, pemula","tanam, kangkung, yg, kk, ko, udh, yg, busuk, akar, , knph, ya, ka, mula","kompleksitas perawatan, minat hidroponik",Negatif
YxYvJhEqC98,@ANDIKSADICARE,mantap kawan saya juga mulai mengembangkan cara bertanam organik salam satu hobi,0,2021-09-15T00:54:55Z,budidaya organik,2021,mantap kawan saya juga mulai mengembangkan cara bertanam organik salam satu hobi,"mantap, kawan, saya, juga, mulai, mengembangkan, cara, bertanam, organik, salam, satu, hobi","mantap, kawan, mengembangkan, bertanam, organik, salam, hobi","mantap, kawan, embangkan, tanam, organik, salam, hobi",kepercayaan produk organik,Positif
9zyK_C4g4qU,@jumiyempaypil3830,jarak lobang berapa,0,2023-06-21T06:38:14Z,hidroponik,2023,jarak lobang berapa,"jarak, lobang, berapa","jarak, lobang","jarak, lobang",feedback penonton,Netral
ypbdbIGDYGw,@amassalamasih5717,pkai bmbu reng aj ramgkanya lebih irit biaya klo pvc biaya lebih mahal,0,2024-07-06T03:57:47Z,budidaya organik,2024,pkai bmbu reng aj ramgkanya lebih irit biaya klo pvc biaya lebih mahal,"pkai, bmbu, reng, aj, ramgkanya, lebih, irit, biaya, klo, pvc, biaya, lebih, mahal","pkai, bmbu, reng, aj, ramgkanya, irit, biaya, klo, pvc, biaya, mahal","pkai, bmbu, reng, aj, ramgka, irit, biaya, klo, pvc, biaya, mahal",harga produk organik,Negatif
Xrbn47ZiFYw,@collectionadina,infarmid kalau buat disimpan bisa tahan lama gk min pestisidanya,0,2024-08-20T12:23:47Z,pengendalian hama,2024,infarmid kalau buat disimpan bisa tahan lama gk min pestisidanya,"infarmid, kalau, buat, disimpan, bisa, tahan, lama, gk, min, pestisidanya","infarmid, disimpan, tahan, gk, min, pestisidanya","infarmid, simpan, tahan, gk, min, pestisida",feedback penonton,Negatif
QQM9BKY0_K8,@enarohandscraft8803,terimakasih buat mencerahannya,0,2023-03-22T02:43:50Z,pemupukan,2023,terimakasih buat mencerahannya,"terimakasih, buat, mencerahannya","terimakasih, mencerahannya","terimakasih, cerah",feedback penonton,Positif
ucfHy84xvec,@Minacenah99,magot untuk pembusukan,1,2024-11-11T00:55:15Z,budidaya organik,2024,magot untuk pembusukan,"magot, untuk, pembusukan","magot, pembusukan","magot, busuk",feedback penonton,Negatif
e0SHDMs4bDk,@MrGubsu,sehat selalu ya,0,2024-09-21T23:22:50Z,irigasi,2024,sehat selalu ya,"sehat, selalu, ya","sehat, ya","sehat, ya",feedback penonton,Positif
ucfHy84xvec,@billionairemama395,ibunya keren,1,2024-08-30T02:34:24Z,budidaya organik,2024,ibunya keren,"ibunya, keren","ibunya, keren","ibu, ren",feedback penonton,Netral
y5B5sxJYEOI,@suryaprabusitumeang6964,tidak banyak makan tempat tapi banyak makan biaya,0,2023-10-30T14:10:36Z,hidroponik,2023,tidak banyak makan tempat tapi banyak makan biaya,"tidak, banyak, makan, tempat, tapi, banyak, makan, biaya","makan, makan, biaya","makan, makan, biaya",biaya awal hidroponik,Netral
5Fv2tGv9_Vo,@selametpurwanto3331,trimakasih sdh menginspirasi saya semoga allah swt selalu melindungi dan memberi kesehatan,0,2025-09-03T12:47:43Z,budidaya organik,2025,trimakasih sdh menginspirasi saya semoga allah swt selalu melindungi dan memberi kesehatan,"trimakasih, sdh, menginspirasi, saya, semoga, allah, swt, selalu, melindungi, dan, memberi, kesehatan","trimakasih, sdh, menginspirasi, semoga, allah, swt, melindungi, kesehatan","trimakasih, sdh, inspirasi, moga, allah, swt, lindung, sehat",feedback penonton,Positif
inF984LZKa0,@AsepJamalRudin,makasih bang atas ilmu nya soal nya sy hobi tanaman sayur,0,2025-11-29T15:04:04Z,pemupukan,2025,makasih bang atas ilmu nya soal nya sy hobi tanaman sayur,"makasih, bang, atas, ilmu, nya, soal, nya, sy, hobi, tanaman, sayur","makasih, bang, ilmu, nya, nya, sy, hobi, tanaman, sayur","makasih, bang, ilmu, , , sy, hobi, tanam, sayur",feedback penonton,Positif
inF984LZKa0,@SamadMenal,salam sejahtera spt garren semoga terus sukses dan sihat selalu terima kasih mohon maaf atas kekurangan saya,0,2025-12-15T08:23:43Z,pemupukan,2025,salam sejahtera spt garren semoga terus sukses dan sihat selalu terima kasih mohon maaf atas kekurangan saya,"salam, sejahtera, spt, garren, semoga, terus, sukses, dan, sihat, selalu, terima, kasih, mohon, maaf, atas, kekurangan, saya","salam, sejahtera, spt, garren, semoga, sukses, sihat, terima, kasih, mohon, maaf, kekurangan","salam, sejahtera, spt, garren, moga, sukses, sihat, terima, kasih, mohon, maaf, kurang",feedback penonton,Positif
28Eo_Xm8LYg,@MuhammadYusuf-em1xi,pak jika anfush nya kita campur dgn poc cair yang organik bagaimana pak apakah tricodermanya mati juga,0,2021-03-31T11:21:18Z,pemupukan,2021,pak jika anfush nya kita campur dgn poc cair yang organik bagaimana pak apakah tricodermanya mati juga,"pak, jika, anfush, nya, kita, campur, dgn, poc, cair, yang, organik, bagaimana, pak, apakah, tricodermanya, mati, juga","anfush, nya, campur, dgn, poc, cair, organik, tricodermanya, mati","anfush, , campur, dgn, poc, cair, organik, tricoderma, mati","dampak pupuk ke tanaman, konflik pupuk kimia organik",Negatif
vvcBT2Fg5IQ,@irfanar6852,keren inspiratif sekali,0,2024-12-18T10:34:23Z,budidaya organik,2024,keren inspiratif sekali,"keren, inspiratif, sekali","keren, inspiratif","ren, inspiratif",feedback penonton,Netral
-YlHpqcgOow,@BALAD_hiking,alhamdulillah ada ilmu di jelaskan dgn rinci dari a z sallam dari sumedang jabar,2,2024-10-28T14:47:53Z,pemupukan,2024,alhamdulillah ada ilmu di jelaskan dgn rinci dari a z sallam dari sumedang jabar,"alhamdulillah, ada, ilmu, di, jelaskan, dgn, rinci, dari, a, z, sallam, dari, sumedang, jabar","alhamdulillah, ilmu, dgn, rinci, a, z, sallam, sumedang, jabar","alhamdulillah, ilmu, dgn, rinci, a, z, sallam, sumedang, jabar",feedback penonton,Positif
vvcBT2Fg5IQ,@ann-hr8rq,maaf bun kalau saya ada belalang di tanamanku q bunuh,0,2025-01-09T01:38:03Z,budidaya organik,2025,maaf bun kalau saya ada belalang di tanamanku q bunuh,"maaf, bun, kalau, saya, ada, belalang, di, tanamanku, q, bunuh","maaf, bun, belalang, tanamanku, q, bunuh","maaf, bun, belalang, tanam, q, bunuh",feedback penonton,Positif
JTEhv7JCRF0,@warsiwarsi-he1kh,makasih ilmunya pak,0,2025-02-05T08:28:59Z,pengendalian hama,2025,makasih ilmunya pak,"makasih, ilmunya, pak","makasih, ilmunya","makasih, ilmu",feedback penonton,Netral
5Fv2tGv9_Vo,@royckn1719,dalam sekali kata katanya daging semua ilmu mahal ini,0,2025-09-04T05:31:50Z,budidaya organik,2025,dalam sekali kata katanya daging semua ilmu mahal ini,"dalam, sekali, kata, katanya, daging, semua, ilmu, mahal, ini","daging, ilmu, mahal","daging, ilmu, mahal",harga produk organik,Negatif
Xrbn47ZiFYw,@Iwgs-v6i,mantaaap coba ahhh,0,2023-09-27T12:35:07Z,pengendalian hama,2023,mantaaap coba ahhh,"mantaaap, coba, ahhh","mantaaap, coba, ahhh","mantaaap, coba, ahhh",feedback penonton,Netral
Z3QfdLBjRWk,@roswatiwati7919,pak klo tanaman bawang nya terkena hujan gmn pak pupuk yg baik buat tanaman bawang dan umbinya lebat pupuk nya apa pengendalian nya gmn,1,2020-11-24T06:05:51Z,pemupukan,2020,pak klo tanaman bawang nya terkena hujan gmn pak pupuk yg baik buat tanaman bawang dan umbinya lebat pupuk nya apa pengendalian nya gmn,"pak, klo, tanaman, bawang, nya, terkena, hujan, gmn, pak, pupuk, yg, baik, buat, tanaman, bawang, dan, umbinya, lebat, pupuk, nya, apa, pengendalian, nya, gmn","klo, tanaman, bawang, nya, terkena, hujan, gmn, pupuk, yg, tanaman, bawang, umbinya, lebat, pupuk, nya, pengendalian, nya, gmn","klo, tanam, bawang, , kena, hujan, gmn, pupuk, yg, tanam, bawang, umbi, lebat, pupuk, , kendali, , gmn",dosis dan waktu pupuk,Positif
5Fv2tGv9_Vo,@evihafidah1766,luar biasa pasutri ini kereeeen,0,2025-12-24T04:07:22Z,budidaya organik,2025,luar biasa pasutri ini kereeeen,"luar, biasa, pasutri, ini, kereeeen","pasutri, kereeeen","pasutri, reeeen",feedback penonton,Netral
-YlHpqcgOow,@muhsanahmad1795,mohon tanya apakah ini tanpa pupuk dasa maaf pemula pak,0,2025-10-17T12:54:22Z,pemupukan,2025,mohon tanya apakah ini tanpa pupuk dasa maaf pemula pak,"mohon, tanya, apakah, ini, tanpa, pupuk, dasa, maaf, pemula, pak","mohon, pupuk, dasa, maaf, pemula","mohon, pupuk, dasa, maaf, mula",dosis dan waktu pupuk,Netral
bOsToXOFK4A,@anggungunawan8577,maaf pak untuk hama dan penyakit nya setelah saya simak tidak terlalu banyak tapi untuk fungi dan insek sangat banyak dari berbagai nama bahan aktif nya saya pusing harus pakai yang mana gamungkin kita beli semua,1,2025-04-28T12:20:32Z,pengendalian hama,2025,maaf pak untuk hama dan penyakit nya setelah saya simak tidak terlalu banyak tapi untuk fungi dan insek sangat banyak dari berbagai nama bahan aktif nya saya pusing harus pakai yang mana gamungkin kita beli semua,"maaf, pak, untuk, hama, dan, penyakit, nya, setelah, saya, simak, tidak, terlalu, banyak, tapi, untuk, fungi, dan, insek, sangat, banyak, dari, berbagai, nama, bahan, aktif, nya, saya, pusing, harus, pakai, yang, mana, gamungkin, kita, beli, semua","maaf, hama, penyakit, nya, simak, fungi, insek, nama, bahan, aktif, nya, pusing, pakai, gamungkin, beli","maaf, hama, sakit, , simak, fungi, insek, nama, bahan, aktif, , pusing, pakai, gamungkin, beli","efektivitas pengendalian hama, risiko pestisida kesehatan",Negatif
TCRV_d27iG0,@tikomcell123,pak gandasil b tidak ada unsur calsiumnya untuk tanaman haruskah ada tambahan calsium lagi,1,2021-05-03T01:53:05Z,pemupukan,2021,pak gandasil b tidak ada unsur calsiumnya untuk tanaman haruskah ada tambahan calsium lagi,"pak, gandasil, b, tidak, ada, unsur, calsiumnya, untuk, tanaman, haruskah, ada, tambahan, calsium, lagi","gandasil, b, unsur, calsiumnya, tanaman, haruskah, tambahan, calsium","gandasil, b, unsur, calsium, tanam, harus, tambah, calsium",feedback penonton,Positif
-GyJN1tr9RM,@Mun_rorr,masyaallah jadi pengen nyoba,1,2023-02-27T17:42:39Z,hidroponik,2023,masyaallah jadi pengen nyoba,"masyaallah, jadi, pengen, nyoba","masyaallah, pengen, nyoba","masyaallah, ken, nyoba",minat hidroponik,Netral
1NnDgJzBAq4,@langlangbuanamancing4576,terimakasih ilmu nya semoga bermanfaat bagi yg menoton dan bisa berkembang,0,2022-02-23T13:22:49Z,hidroponik,2022,terimakasih ilmu nya semoga bermanfaat bagi yg menoton dan bisa berkembang,"terimakasih, ilmu, nya, semoga, bermanfaat, bagi, yg, menoton, dan, bisa, berkembang","terimakasih, ilmu, nya, semoga, bermanfaat, yg, menoton, berkembang","terimakasih, ilmu, , moga, manfaat, yg, menoton, kembang",feedback penonton,Positif
5Fv2tGv9_Vo,@brisskr7753,smart people,0,2025-09-03T04:57:36Z,budidaya organik,2025,smart people,"smart, people","smart, people","smart, people",feedback penonton,Netral
QQM9BKY0_K8,@bayuVlog2312,terima kasih ilmu nya bang sangat mudah dipahami sukses selalu,0,2021-08-22T16:22:44Z,pemupukan,2021,terima kasih ilmu nya bang sangat mudah dipahami sukses selalu,"terima, kasih, ilmu, nya, bang, sangat, mudah, dipahami, sukses, selalu","terima, kasih, ilmu, nya, bang, mudah, dipahami, sukses","terima, kasih, ilmu, , bang, mudah, paham, sukses",feedback penonton,Positif
-YlHpqcgOow,@HattaLubis-i9e,penyemprotan hari ke air nya berapa liter ya,0,2025-12-04T12:50:51Z,pemupukan,2025,penyemprotan hari ke air nya berapa liter ya,"penyemprotan, hari, ke, air, nya, berapa, liter, ya","penyemprotan, air, nya, liter, ya","semprot, air, , liter, ya",dosis dan waktu pupuk,Netral
-GyJN1tr9RM,@bertemanhewan,terima kasih ilmunya mas,1,2023-05-04T05:35:23Z,hidroponik,2023,terima kasih ilmunya mas,"terima, kasih, ilmunya, mas","terima, kasih, ilmunya, mas","terima, kasih, ilmu, mas",feedback penonton,Positif
-GyJN1tr9RM,@Novs-bv6wm,untuk mendapatkan larutan ab mix nya itu gimana bang,1,2023-09-29T14:48:55Z,hidroponik,2023,untuk mendapatkan larutan ab mix nya itu gimana bang,"untuk, mendapatkan, larutan, ab, mix, nya, itu, gimana, bang","larutan, ab, mix, nya, gimana, bang","larut, ab, mix, , gimana, bang",kompleksitas perawatan,Netral
28Eo_Xm8LYg,@Jayadi9,trimakasih atas infonya pak mantep,1,2023-12-08T06:23:34Z,pemupukan,2023,trimakasih atas infonya pak mantep,"trimakasih, atas, infonya, pak, mantep","trimakasih, infonya, mantep","trimakasih, info, mantep",feedback penonton,Netral
pO43PBserhU,@IrWadi-s6s,apa gk bahaya dengan tanaman bosku,0,2025-08-15T04:15:13Z,pengendalian hama,2025,apa gk bahaya dengan tanaman bosku,"apa, gk, bahaya, dengan, tanaman, bosku","gk, bahaya, tanaman, bosku","gk, bahaya, tanam, bos",risiko pestisida kesehatan,Positif
1NnDgJzBAq4,@bimarofi3919,bs pke kain,1,2022-10-23T18:53:10Z,hidroponik,2022,bs pke kain,"bs, pke, kain","bs, pke, kain","bs, pke, kain",feedback penonton,Netral
5Fv2tGv9_Vo,@Rumah_mita,aku pengen dadi tonggomu mas mbak,0,2025-11-13T07:35:01Z,budidaya organik,2025,aku pengen dadi tonggomu mas mbak,"aku, pengen, dadi, tonggomu, mas, mbak","pengen, dadi, tonggomu, mas, mbak","ken, dadi, tonggomu, mas, mbak",feedback penonton,Netral
GO6PuKMedeM,@eddy55sutrisno10,pertanyaan saya cairan nutrisi a dan b terbuat dari apa atau ada di pasaran namanya apa,1,2023-09-29T03:57:50Z,hidroponik,2023,pertanyaan saya cairan nutrisi a dan b terbuat dari apa atau ada di pasaran namanya apa,"pertanyaan, saya, cairan, nutrisi, a, dan, b, terbuat, dari, apa, atau, ada, di, pasaran, namanya, apa","cairan, nutrisi, a, b, terbuat, pasaran, namanya","cair, nutrisi, a, b, buat, pasar, nama",kompleksitas perawatan,Positif
5Fv2tGv9_Vo,@sukatmisunarto3680,posisi alamat lengkap bolehkah,0,2025-09-04T10:23:07Z,budidaya organik,2025,posisi alamat lengkap bolehkah,"posisi, alamat, lengkap, bolehkah","posisi, alamat, lengkap","posisi, alamat, lengkap",feedback penonton,Negatif
5Fv2tGv9_Vo,@HemasChannel_825,masya allah semangkat bersyukur,0,2025-09-02T00:14:51Z,budidaya organik,2025,masya allah semangkat bersyukur,"masya, allah, semangkat, bersyukur","masya, allah, semangkat, bersyukur","masya, allah, mangkat, syukur",feedback penonton,Netral
GzdFV_r-SHM,@ImamWahyudi-p7b,mantap ban,0,2025-12-06T01:46:09Z,pengendalian hama,2025,mantap ban,"mantap, ban","mantap, ban","mantap, ban",feedback penonton,Positif
QQM9BKY0_K8,@meggyarjuna9259,mantab bgt ilmunya bg ada yg mau saya tanyakan bibit anggur saya daunya kecil dan agak kuning bagus nya di beri pupuk apa dlm masa vegetatif ini bg trims,0,2022-06-22T08:50:31Z,pemupukan,2022,mantab bgt ilmunya bg ada yg mau saya tanyakan bibit anggur saya daunya kecil dan agak kuning bagus nya di beri pupuk apa dlm masa vegetatif ini bg trims,"mantab, bgt, ilmunya, bg, ada, yg, mau, saya, tanyakan, bibit, anggur, saya, daunya, kecil, dan, agak, kuning, bagus, nya, di, beri, pupuk, apa, dlm, masa, vegetatif, ini, bg, trims","mantab, bgt, ilmunya, bg, yg, bibit, anggur, daunya, kuning, bagus, nya, pupuk, dlm, vegetatif, bg, trims","mantab, bgt, ilmu, bg, yg, bibit, anggur, dau, kuning, bagus, , pupuk, dlm, vegetatif, bg, trims","dampak pupuk ke tanaman, dosis dan waktu pupuk",Negatif
5Fv2tGv9_Vo,@eltechno-w6g,luar biasa inspiratif,0,2025-09-22T14:23:33Z,budidaya organik,2025,luar biasa inspiratif,"luar, biasa, inspiratif",inspiratif,inspiratif,feedback penonton,Netral
GO6PuKMedeM,@heranredwinianggraeni8565,om itu dr awal ampe brbuah air nutrisinya d ganti brkala atau d tambahin aja jika susut sama kalau hujan gmna saya mau coba pot tpi ragu n takut banyak nyamuk brtlur d ember nya trmish mohon imponya,1,2025-06-04T08:45:50Z,hidroponik,2025,om itu dr awal ampe brbuah air nutrisinya d ganti brkala atau d tambahin aja jika susut sama kalau hujan gmna saya mau coba pot tpi ragu n takut banyak nyamuk brtlur d ember nya trmish mohon imponya,"om, itu, dr, awal, ampe, brbuah, air, nutrisinya, d, ganti, brkala, atau, d, tambahin, aja, jika, susut, sama, kalau, hujan, gmna, saya, mau, coba, pot, tpi, ragu, n, takut, banyak, nyamuk, brtlur, d, ember, nya, trmish, mohon, imponya","om, dr, ampe, brbuah, air, nutrisinya, d, ganti, brkala, d, tambahin, aja, susut, hujan, gmna, coba, pot, tpi, ragu, n, takut, nyamuk, brtlur, d, ember, nya, trmish, mohon, imponya","om, dr, ampe, brbuah, air, nutrisi, d, ganti, brkala, d, tambahin, aja, susut, hujan, gmna, coba, pot, tpi, ragu, n, takut, nyamuk, brtlur, d, ember, , trmish, mohon, impo","kompleksitas perawatan, minat hidroponik",Negatif
_lAVXCvou78,@Kana-Tzy,daun cabe saya bolong gara gara hama,2,2022-11-11T13:10:41Z,pengendalian hama,2022,daun cabe saya bolong gara gara hama,"daun, cabe, saya, bolong, gara, gara, hama","daun, cabe, bolong, gara, gara, hama","daun, cabe, bolong, gara, gara, hama",efektivitas pengendalian hama,Negatif
28Eo_Xm8LYg,@arsyahrifai777,gila y bakteri poc itu pada mati,1,2023-09-08T16:25:14Z,pemupukan,2023,gila y bakteri poc itu pada mati,"gila, y, bakteri, poc, itu, pada, mati","gila, y, bakteri, poc, mati","gila, y, bakteri, poc, mati",dampak pupuk ke tanaman,Negatif
5Fv2tGv9_Vo,@FriskaHandayani-o2f,keren bangettt,0,2025-09-10T06:57:56Z,budidaya organik,2025,keren bangettt,"keren, bangettt","keren, bangettt","ren, bangettt",feedback penonton,Netral
TCRV_d27iG0,@jumaidinjum525,mohon ijin tanya pupuk untuk merangsang memacu bunga buah durian baiknya pakai ppuk apa pohon durian yg sudah lama belum mau muncul bunga supaya mau memunculkan bunga,0,2022-02-27T15:56:16Z,pemupukan,2022,mohon ijin tanya pupuk untuk merangsang memacu bunga buah durian baiknya pakai ppuk apa pohon durian yg sudah lama belum mau muncul bunga supaya mau memunculkan bunga,"mohon, ijin, tanya, pupuk, untuk, merangsang, memacu, bunga, buah, durian, baiknya, pakai, ppuk, apa, pohon, durian, yg, sudah, lama, belum, mau, muncul, bunga, supaya, mau, memunculkan, bunga","mohon, ijin, pupuk, merangsang, memacu, bunga, buah, durian, baiknya, pakai, ppuk, pohon, durian, yg, muncul, bunga, memunculkan, bunga","mohon, ijin, pupuk, rangsang, pacu, bunga, buah, durian, baik, pakai, ppuk, pohon, durian, yg, muncul, bunga, muncul, bunga",dosis dan waktu pupuk,Negatif
ucfHy84xvec,@Fitrianisaharahap,ya allah bagus kali kebunnya gak kebayang nyari media tanamnya gimana itu,1,2025-02-24T11:11:48Z,budidaya organik,2025,ya allah bagus kali kebunnya gak kebayang nyari media tanamnya gimana itu,"ya, allah, bagus, kali, kebunnya, gak, kebayang, nyari, media, tanamnya, gimana, itu","ya, allah, bagus, kali, kebunnya, gak, kebayang, nyari, media, tanamnya, gimana","ya, allah, bagus, kali, bun, gak, bayang, nyari, media, tanam, gimana",hasil panen organik,Positif
